Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776360514,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776360515,40,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776360516,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776360517,80,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,18,0,2100,2090.616255552353,2047.2686000866815,2100.4234000574797,364.3888888888889
1776360518,100,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,49,0,2100,1449.000689790261,3.3315999899059534,2100.4234000574797,342.6938775510204
1776360519,120,,Aggregated,6.000000,0.000000,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,2200,91,0,2100,1221.2791406564866,3.3057000255212188,2216.6901000309736,375.5274725274725
1776360520,140,,Aggregated,9.500000,0.000000,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,139,0,2000,1056.1667870505705,3.3057000255212188,2216.6901000309736,369.54676258992805
1776360521,160,,Aggregated,15.400000,0.000000,10,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200,207,0,10,913.8084468611737,3.082799958065152,2216.6901000309736,376.21256038647346
1776360522,180,,Aggregated,20.500000,0.000000,10,2100,2100,2100,2100,2100,2100,2100,2200,2200,2200,272,0,10,843.149066915537,3.082799958065152,2216.6901000309736,368.56985294117646
1776360523,200,,Aggregated,25.571429,0.000000,9,2100,2100,2100,2100,2100,2100,2200,2200,2200,2200,353,0,9,754.7848048186584,3.082799958065152,2216.6901000309736,355.63456090651556
1776360524,200,,Aggregated,30.500000,0.000000,9,59,2100,2100,2100,2100,2100,2100,2200,2200,2200,439,0,9,704.227399317535,3.029600018635392,2216.6901000309736,346.0865603644647
1776360525,200,,Aggregated,30.500000,0.000000,9,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200,449,0,9,725.4834737206595,3.029600018635392,2216.6901000309736,344.29175946547883
1776360526,200,,Aggregated,30.500000,0.000000,9,2000,2100,2100,2100,2100,2100,2100,2200,2200,2200,449,0,9,725.4834737206595,3.029600018635392,2216.6901000309736,344.29175946547883
1776360527,200,,Aggregated,40.500000,0.000000,9,2100,2100,2100,2100,2100,2100,4000,12000,12000,12000,454,0,9,797.4811041861514,3.029600018635392,12094.6862999117,344.0814977973568
1776360528,200,,Aggregated,44.900000,0.000000,14,2100,2100,2100,2700,3000,5100,12000,12000,12000,12000,549,0,14,1236.4934424435862,3.029600018635392,12113.810600014403,329.6830601092896
1776360529,200,,Aggregated,43.600000,0.000000,57,2100,2100,2200,3000,5000,5600,12000,12000,12000,12000,581,0,57,1424.548295183266,3.029600018635392,12127.403400023468,337.00172117039585
